Numero	Criticidade	Nome	Query
96	2	 Uso de cache de memória 	 container_memory_cache{container="hip-backoffice"}
100	2	 Uso total de disco do container 	 container_fs_usage_bytes{container="hip-backoffice"}
112	2	 Uso de memória committed JVM 	 jvm_memory_committed_bytes{container="hip-backoffice"}
113	2	 Uso de memória heap JVM 	 jvm_memory_used_bytes{container="hip-backoffice", area="heap"} / 1024 / 1024
114	2	 Uso de memória non-heap JVM 	 jvm_memory_used_bytes{container="hip-backoffice", area="nonheap"} / 1024 / 1024
115	2	 Uso de heap JVM (% reservado) 	 100 * (jvm_memory_used_bytes{container="hip-backoffice", area="heap"} / jvm_memory_committed_bytes{area="heap"})
116	2	 Uso de non-heap JVM (% reservado) 	 100 * (jvm_memory_used_bytes{container="hip-backoffice", area="nonheap"} / jvm_memory_committed_bytes{area="nonheap"})
128	2	 Tempo médio de pausa GC 	 rate(jvm_gc_pause_seconds_sum{container="hip-backoffice"}[5m]) / rate(jvm_gc_pause_seconds_count{container="hip-backoffice"}[5m])
138	2	 Limite máximo de arquivos abertos 	 process_files_max_files{container="hip-backoffice"}
139	2	 Arquivos abertos pelo processo 	 process_files_open_files{container="hip-backoffice"}
141	2	 Uso de CPU do processo 	 100 * rate(process_cpu_time_ns_total{container="hip-backoffice"}[5m]) / 1e9 / system_cpu_count
142	2	 Uso de CPU Spring Boot 	 process_cpu_usage{container="hip-backoffice"} * 100
147	2	 Tarefas em fila no executor 	 executor_queued_tasks{job="hip-backoffice-svc"}
150	2	 Sessões HTTP ativas 	 tomcat_sessions_active_current_sessions{container="hip-backoffice"}
151	2	 Pico de sessões HTTP 	 tomcat_sessions_active_max_sessions{container="hip-backoffice"}
153	2	 Sessões HTTP expiradas 	 increase(tomcat_sessions_expired_sessions_total{container="hip-backoffice"}[5m])
156	2	 Autorizações Spring Security (taxa) 	 rate(spring_security_authorizations_seconds_count{container="hip-backoffice"}[5m])
157	2	 Tempo médio de autorização 	 rate(spring_security_authorizations_seconds_sum{container="hip-backoffice"}[5m]) / rate(spring_security_authorizations_seconds_count{container="hip-backoffice"}[5m])
161	2	 Tempo máximo requisição protegida 	 max_over_time(spring_security_http_secured_requests_seconds_max{container="hip-backoffice"}[5m])
163	2	 Tempo máximo da filter chain 	 max_over_time(spring_security_filterchains_seconds_max{container="hip-backoffice"}[5m])
169	2	 Conexões JDBC ativas 	 jdbc_connections_active{container="hip-backoffice"}
171	2	 Conexões HikariCP ativas 	 hikaricp_connections_active{container="hip-backoffice"}
173	2	 Timeouts de conexão HikariCP 	 hikaricp_connections_timeout_total{container="hip-backoffice"}
176	2	 Mensagens publicadas RabbitMQ 	 rabbitmq_published_total{container="hip-backoffice"}
177	2	 Mensagens consumidas RabbitMQ 	 rabbitmq_consumed_total{container="hip-backoffice"}
8	3	 Carga média do sistema (1m) 	 system_load_average_1m{container="hip-backoffice"}
14	3	 Uso de Heap JVM (bytes) 	 jvm_memory_used_bytes{area="heap",container="hip-backoffice"}
15	3	 Heap máximo JVM 	 jvm_memory_max_bytes{area="heap",container="hip-backoffice"}
16	3	 Pausas de GC (total) 	 jvm_gc_pause_seconds_sum{container="hip-backoffice"}
17	3	 Maior pausa de GC 	 jvm_gc_pause_seconds_max{container="hip-backoffice"}
18	3	 Overhead de GC 	 jvm_gc_overhead{container="hip-backoffice"}
19	3	 Threads vivas JVM 	 jvm_threads_live_threads{container="hip-backoffice"}
20	3	 Threads em pico JVM 	 jvm_threads_peak_threads{container="hip-backoffice"}
21	3	 Threads daemon JVM 	 jvm_threads_daemon_threads{container="hip-backoffice"}
35	3	 Bytes lidos do disco 	 rate(container_fs_reads_bytes_total{container="hip-backoffice"}[5m])
36	3	 Bytes escritos no disco 	 rate(container_fs_writes_bytes_total{container="hip-backoffice"}[5m])
39	3	 Pacotes de rede recebidos 	 rate(container_network_receive_packets_total{container="hip-backoffice"}[5m])
40	3	 Pacotes de rede enviados 	 rate(container_network_transmit_packets_total{container="hip-backoffice"}[5m])
45	3	 RabbitMQ mensagens prontas 	 rabbitmq_queue_messages_ready
46	3	 RabbitMQ mensagens não confirmadas 	 rabbitmq_queue_messages_unacknowledged
51	3	 RabbitMQ mensagens publicadas 	 rate(rabbitmq_published_total[5m])
53	3	 Tempo de resposta médio RabbitMQ 	 rabbitmq_channel_process_time_seconds_sum / rabbitmq_channel_process_time_seconds_count
64	3	 I/O de leitura do nó 	 rate(node_disk_read_bytes_total[5m])
65	3	 I/O de escrita do nó 	 rate(node_disk_written_bytes_total[5m])
66	3	 Latência de leitura de disco 	 rate(node_disk_read_time_seconds_total[5m])
67	3	 Latência de escrita de disco 	 rate(node_disk_write_time_seconds_total[5m])
70	3	 Pacotes descartados de rede (RX) 	 rate(node_network_receive_drop_total[5m])
71	3	 Pacotes descartados de rede (TX) 	 rate(node_network_transmit_drop_total[5m])
76	3	 Pods pendentes 	 kube_pod_status_phase{phase="Pending"}
82	3	 Saturação de CPU (requests vs uso) 	 container_cpu_usage_seconds_total / kube_pod_container_resource_requests_cpu_cores
83	3	 Saturação de memória (requests vs uso) 	 container_memory_working_set_bytes / kube_pod_container_resource_requests_memory_bytes
89	3	 Tempo de scrape Prometheus 	 scrape_duration_seconds
97	3	 Uso de swap do container 	 container_memory_swap{container="hip-backoffice"}
98	3	 Leitura de disco do container 	 rate(container_fs_reads_bytes_total{container="hip-backoffice"}[5m])
99	3	 Escrita de disco do container 	 rate(container_fs_writes_bytes_total{container="hip-backoffice"}[5m])
101	3	 I/O de disco do container 	 rate(container_blkio_device_usage_total{container="hip-backoffice"}[5m])
106	3	 Uptime do container 	 container_start_time_seconds{container="hip-backoffice"}
108	3	 Scrape series criadas 	 scrape_series_added{container="hip-backoffice"}
110	3	 Duração do scrape 	 scrape_duration_seconds{container="hip-backoffice"}
111	3	 Uso de CPU do sistema 	 system_cpu_usage{container="hip-backoffice"}
117	3	 Capacidade máxima de heap JVM 	 jvm_memory_max_bytes{container="hip-backoffice", area="heap"}
118	3	 Capacidade máxima de non-heap JVM 	 jvm_memory_max_bytes{container="hip-backoffice", area="nonheap"}
119	3	 Buffer JVM usado 	 jvm_buffer_memory_used_bytes{container="hip-backoffice"} / 1024 / 1024
120	3	 Capacidade total buffers JVM 	 jvm_buffer_total_capacity_bytes{container="hip-backoffice"} / 1024 / 1024
121	3	 Quantidade de buffers JVM 	 jvm_buffer_count_buffers{container="hip-backoffice"}
122	3	 Threads vivas JVM 	 jvm_threads_live_threads{container="hip-backoffice"}
123	3	 Threads daemon JVM 	 jvm_threads_daemon_threads{container="hip-backoffice"}
124	3	 Pico de threads JVM 	 jvm_threads_peak_threads{container="hip-backoffice"}
125	3	 Threads iniciadas JVM 	 rate(jvm_threads_started_threads_total{container="hip-backoffice"}[5m])
126	3	 Estados das threads JVM 	 jvm_threads_states_threads{container="hip-backoffice"}
127	3	 GC pausas por segundo 	 rate(jvm_gc_pause_seconds_count{container="hip-backoffice"}[5m])
130	3	 Overhead de GC 	 jvm_gc_overhead{container="hip-backoffice"}
131	3	 Memória promovida para old gen 	 rate(jvm_gc_memory_promoted_bytes_total{container="hip-backoffice"}[5m])
132	3	 Taxa de alocação de memória JVM 	 rate(jvm_gc_memory_allocated_bytes_total{container="hip-backoffice"}[5m])
133	3	 Dados vivos após GC 	 jvm_gc_live_data_size_bytes{container="hip-backoffice"}
134	3	 Capacidade máxima de dados vivos 	 jvm_gc_max_data_size_bytes{container="hip-backoffice"}
136	3	 Total de classes Java carregadas 	 jvm_classes_loaded_classes{container="hip-backoffice"}
137	3	 Total de classes Java descarregadas 	 jvm_classes_unloaded_classes_total{container="hip-backoffice"}
140	3	 Tempo de atividade da aplicação 	 process_uptime_seconds{container="hip-backoffice"}
143	3	 Threads ativas no executor 	 executor_active_threads{job="hip-backoffice-svc"}
144	3	 Pool de threads – tamanho atual 	 executor_pool_size_threads{job="hip-backoffice-svc"}
145	3	 Pool de threads – core size 	 executor_pool_core_threads{job="hip-backoffice-svc"}
146	3	 Pool de threads – max size 	 executor_pool_max_threads{job="hip-backoffice-svc"}
148	3	 Capacidade restante da fila 	 executor_queue_remaining_tasks{job="hip-backoffice-svc"}
149	3	 Total de tarefas concluídas 	 increase(executor_completed_tasks_total{job="hip-backoffice-svc"}[1m])
152	3	 Sessões HTTP criadas 	 increase(tomcat_sessions_created_sessions_total{container="hip-backoffice"}[5m])
155	3	 Tempo máximo de vida da sessão 	 tomcat_sessions_alive_max_seconds{container="hip-backoffice"}
159	3	 Requisições protegidas (taxa) 	 rate(spring_security_http_secured_requests_seconds_count{container="hip-backoffice"}[5m])
160	3	 Tempo médio de requisição protegida 	 rate(spring_security_http_secured_requests_seconds_sum{container="hip-backoffice"}[5m]) / rate(spring_security_http_secured_requests_seconds_count{container="hip-backoffice"}[5m])
162	3	 Execuções da filter chain 	 rate(spring_security_filterchains_seconds_count{container="hip-backoffice"}[5m])
164	3	 Exceções após filter chain 	 increase(spring_security_filterchains_access_exceptions_after_total{container="hip-backoffice"}[5m])
165	3	 Execuções logout filter 	 rate(spring_security_filterchains_logout_after_total{container="hip-backoffice"}[5m])
166	3	 Execuções session management 	 rate(spring_security_filterchains_session_management_after_total{container="hip-backoffice"}[5m])
167	3	 Execuções context holder 	 rate(spring_security_filterchains_context_holder_after_total{container="hip-backoffice"}[5m])
168	3	 Execuções context async 	 rate(spring_security_filterchains_context_async_after_total{container="hip-backoffice"}[5m])
170	3	 Conexões JDBC ociosas 	 jdbc_connections_idle{container="hip-backoffice"}
172	3	 Conexões HikariCP ociosas 	 hikaricp_connections_idle{container="hip-backoffice"}
174	3	 Canais ativos RabbitMQ 	 rabbitmq_channels{container="hip-backoffice"}
175	3	 Conexões RabbitMQ 	 rabbitmq_connections{container="hip-backoffice"}
29	4	 Tamanho máximo do pool HikariCP 	 hikaricp_connections_max{container="hip-backoffice"}
84	4	 Pods por namespace 	 count(kube_pod_info) by (namespace)
85	4	 Containers por pod 	 count(kube_pod_container_info) by (pod)
86	4	 Nodes no cluster 	 count(kube_node_info)
90	4	 Amostras ingeridas pelo Prometheus 	 prometheus_tsdb_head_samples_appended_total
107	4	 Última observação do container 	 container_last_seen{container="hip-backoffice"}
109	4	 Amostras coletadas no scrape 	 scrape_samples_scraped{container="hip-backoffice"}
135	4	 Tempo total de compilação JIT 	 jvm_compilation_time_ms_total{container="hip-backoffice"}
			
