Indice	Prioridade	Nome	Query
137	3	 Log Events by Level 	 increase(logback_events_total{container="inbound-fhir-router-container"}[5m])
138	3	 Thread Pool Overview 	 executor_active_threads{job="hip-backoffice-svc"}
139	3	 Tarefas Concluídas pelo Executor 	 rate(executor_completed_tasks_total{container="inbound-fhir-router-container"}[5m])
140	3	 Tamanho Médio do Pool Core 	 avg_over_time(executor_pool_core_threads{container="inbound-fhir-router-container"}[5m])
141	3	 Tamanho Máximo do Pool de Threads 	 avg_over_time(executor_pool_max_threads{container="inbound-fhir-router-container"}[5m])
142	3	 Tamanho Atual do Pool de Threads 	 avg_over_time(executor_pool_size_threads{container="inbound-fhir-router-container"}[5m])
143	3	 Capacidade Restante da Fila do Executor 	 avg_over_time(executor_queue_remaining_tasks{container="inbound-fhir-router-container"}[5m])
144	3	 Tarefas Enfileiradas no Executor 	 avg_over_time(executor_queued_tasks{container="inbound-fhir-router-container"}[5m])
145	3	 Aquisições de Conexões HikariCP 	 rate(hikaricp_connections_acquire_seconds_count{container="inbound-fhir-router-container"}[5m])
146	3	 Tempo Máximo para Aquisição de Conexão 	 avg_over_time(hikaricp_connections_acquire_seconds_max{container="inbound-fhir-router-container"}[5m])
147	3	 Tempo Total para Aquisição de Conexões 	 avg_over_time(hikaricp_connections_acquire_seconds_sum{container="inbound-fhir-router-container"}[5m])
148	3	 Conexões Ativas no HikariCP 	 avg_over_time(hikaricp_connections_active{container="inbound-fhir-router-container"}[5m])
149	3	 Criações de Conexões HikariCP 	 rate(hikaricp_connections_creation_seconds_count{container="inbound-fhir-router-container"}[5m])
150	3	 Tempo Máximo de Criação de Conexão 	 avg_over_time(hikaricp_connections_creation_seconds_max{container="inbound-fhir-router-container"}[5m])
151	3	 Tempo total de criação de conexões 	 rate(hikaricp_connections_creation_seconds_sum{container="inbound-fhir-router-container"}[5m])
152	3	 Conexões inativas no pool 	 avg_over_time(hikaricp_connections_idle{container="inbound-fhir-router-container"}[5m])
153	3	 Limite máximo de conexões 	 avg_over_time(hikaricp_connections_max{container="inbound-fhir-router-container"}[5m])
154	3	 Conexões mínimas no pool 	 avg_over_time(hikaricp_connections_min{container="inbound-fhir-router-container"}[5m])
155	3	 Conexões pendentes no pool 	 avg_over_time(hikaricp_connections_pending{container="inbound-fhir-router-container"}[5m])
156	3	 Timeouts ao Obter Conexões 	 increase(hikaricp_connections_timeout_total{container="inbound-fhir-router-container"}[5m])
157	3	 Quantidade de Conexões Utilizadas 	 increase(hikaricp_connections_usage_seconds_count{container="inbound-fhir-router-container"}[5m])
158	3	 Tempo Máximo de Uso de Conexão 	 avg_over_time(hikaricp_connections_usage_seconds_max{container="inbound-fhir-router-container"}[5m])
159	3	 Tempo Total de Uso das Conexões 	 avg_over_time(hikaricp_connections_usage_seconds_sum{container="inbound-fhir-router-container"}[5m])
160	3	 Total de Conexões no Pool 	 avg_over_time(hikaricp_connections{container="inbound-fhir-router-container"}[5m])
161	3	 Conexões JDBC Ativas 	 avg_over_time(jdbc_connections_active{container="inbound-fhir-router-container"}[5m])
162	3	 Conexões JDBC 	 avg_over_time(jdbc_connections_idle{container="inbound-fhir-router-container"}[5m])
163	3	 Número Máximo de Conexões JDBC Permitidas 	 avg_over_time(jdbc_connections_max{container="inbound-fhir-router-container"}[5m])
164	3	 Número Mínimo de Conexões JDBC Configuradas 	 avg_over_time(jdbc_connections_min{container="inbound-fhir-router-container"}[5m])
165	3	 Tamanho Atual dos Dados Vivos na Heap 	 avg_over_time(jvm_gc_live_data_size_bytes{container="inbound-fhir-router-container"}[5m])
166	3	 Capacidade Máxima de Dados Vivos na Heap 	 avg_over_time(jvm_gc_max_data_size_bytes{container="inbound-fhir-router-container"}[5m])
168	3	 Memória Committed da JVM 	 avg_over_time(jvm_memory_committed_bytes{container="inbound-fhir-router-container"}[5m])
169	3	 Memória Máxima Configurada da JVM 	 avg_over_time(jvm_memory_max_bytes{container="inbound-fhir-router-container"}[5m])
170	3	 Taxa de Eventos de Log por Segundo 	 rate(logback_events_total{container="inbound-fhir-router-container"}[5m])
171	3	 Limite Máximo de Arquivos Abertos 	 avg_over_time(process_files_max_files{container="inbound-fhir-router-container"}[5m])
172	3	 Arquivos Abertos pelo Processo 	 avg_over_time(process_files_open_files{container="inbound-fhir-router-container"}[5m])
173	3	 Uso de CPU do Sistema 	 avg_over_time(system_cpu_usage{container="inbound-fhir-router-container"}[5m])
180	3	 Uso de Memória Direct Buffer 	 jvm_buffer_memory_used_bytes{container="inbound-fhir-router-container", id="direct"}
181	3	 Capacidade Total Direct Buffer 	 jvm_buffer_total_capacity_bytes{container="inbound-fhir-router-container", id="direct"}
69	4	 Prometheus – Duração de Scrape do Container 	 scrape_duration_seconds{container="inbound-fhir-router-container"}
70	4	 Prometheus – Métricas Coletadas por Scrape 	 scrape_samples_scraped{container="inbound-fhir-router-container"}
71	4	 Prometheus – Séries Adicionadas por Scrape 	 rate(scrape_series_added{container="inbound-fhir-router-container"}[5m])
112	4	 JVM Info - Ambiente e Versão 	 jvm_info{container="inbound-fhir-router-container"}
			
